source,target,note,level,match_mode,context
J-integral,J积分,断裂参量,canonical,exact,力学·断裂力学
crack tip,裂纹尖端,规范译名,canonical,case_insensitive,力学·断裂力学
crack initiation,裂纹萌生,规范译名,canonical,case_insensitive,力学·断裂力学
fatigue,疲劳,规范译名,canonical,case_insensitive,力学·疲劳
fatigue life,疲劳寿命,规范译名,canonical,case_insensitive,力学·疲劳
fatigue crack growth,疲劳裂纹扩展,规范译名,canonical,case_insensitive,力学·疲劳
S-N curve,S-N曲线,疲劳寿命曲线,canonical,exact,力学·疲劳
vibration,振动,规范译名,canonical,case_insensitive,力学·振动
free vibration,自由振动,规范译名,canonical,case_insensitive,力学·振动
forced vibration,受迫振动,规范译名,canonical,case_insensitive,力学·振动
damping,阻尼,规范译名,canonical,case_insensitive,力学·振动
damping ratio,阻尼比,规范译名,canonical,case_insensitive,力学·振动
resonance,共振,规范译名,canonical,case_insensitive,力学·振动
natural frequency,固有频率,规范译名,canonical,case_insensitive,力学·振动
mode shape,振型,规范译名,canonical,case_insensitive,力学·振动
wave equation,波动方程,规范译名,canonical,case_insensitive,力学·波动
dispersion relation,色散关系,规范译名,canonical,case_insensitive,力学·波动
standing wave,驻波,规范译名,canonical,case_insensitive,力学·波动
computational mechanics,计算力学,规范译名,canonical,case_insensitive,力学·计算力学
finite element method,有限元法,规范译名,canonical,case_insensitive,力学·计算力学
finite difference method,有限差分法,规范译名,canonical,case_insensitive,力学·计算力学
boundary element method,边界元法,规范译名,canonical,case_insensitive,力学·计算力学
meshfree method,无网格法,规范译名,canonical,case_insensitive,力学·计算力学
finite volume method,有限体积法,规范译名,canonical,case_insensitive,力学·计算力学
mesh,网格,计算离散术语,canonical,case_insensitive,力学·计算力学
time integration,时间积分,数值时间离散术语,canonical,case_insensitive,力学·计算力学
nonlinear analysis,非线性分析,规范译名,canonical,case_insensitive,力学·计算力学
convergence,收敛,数值计算术语,canonical,case_insensitive,力学·计算力学
