source,target,note,level,match_mode,context
extravehicular activity,舱外活动,航天员离开气闸舱在舱外作业太空行走,canonical,case_insensitive,航天·载人航天
environmental control and life support system,环境控制与生命保障系统,生保系统,canonical,case_insensitive,航天·载人航天
microgravity,微重力,在轨自由落体状态下接近零重力环境,canonical,case_insensitive,航天·空间环境
space debris,空间碎片,废弃航天器与运载器残片太空垃圾,canonical,case_insensitive,航天·空间环境
space weather,空间天气,太阳风暴高能带电粒子等地外环境变化,canonical,case_insensitive,航天·空间环境
radiation belt,辐射带,范艾伦地磁俘获高能带电粒子辐射带,canonical,case_insensitive,航天·空间环境
remote sensing,遥感,利用电磁波非接触探测地球表面信息,canonical,case_insensitive,航天·航天遥感
synthetic aperture radar,合成孔径雷达,星载高分辨率成像雷达系统,canonical,case_insensitive,航天·航天遥感
nadir,天底点,航天器指向地球中心星下点方向,canonical,case_insensitive,航天·航天遥感
zenith,天顶,背离地球中心指向天球顶部的方向,canonical,case_insensitive,航天·航天遥感
